"site","survey_year","transect_plot","quadrat","germ_survey_date","pick_color","number_germ","missing_germs","germ_notes","mort_survey_date","num_dead","mort_notes","days_since_germ","cum_dead","count_check"
"CP2",2022,"T12","T12",2022-07-15,"white",0,0,"extra red after adjusting plot boundaries",2022-07-15,0,"extra red after adjusting plot boundaries",0,0,TRUE
"CP2",2022,"T13","T13",2022-07-15,"white",0,0,"extra red after adjusting plot boundaries",2022-07-15,0,"extra red after adjusting plot boundaries",0,0,TRUE
"CP2",2022,"T14","T14",2022-07-15,"white",0,0,NA,2022-07-15,0,NA,0,0,TRUE
"CP2",2022,"T2","T2",2022-07-15,"white",0,0,NA,2022-07-15,0,NA,0,0,TRUE
"CP2",2022,"T3","T3",2022-07-15,"white",0,0,"extra 2 red after adjusting plot boundaries",2022-07-15,0,"extra 2 red after adjusting plot boundaries",0,0,TRUE
"CP2",2022,"T4","T4",2022-07-15,"white",1,0,NA,2022-07-15,0,NA,0,0,TRUE
"CP2",2022,"T5","T5",2022-07-15,"white",0,0,NA,2022-07-15,0,NA,0,0,TRUE
"CP2",2022,"T6","T6",2022-07-15,"white",0,0,NA,2022-07-15,0,NA,0,0,TRUE
"CP2",2022,"T7","T7",2022-07-15,"white",0,0,NA,2022-07-15,0,NA,0,0,TRUE
"CP2",2022,"T8","T8",2022-07-15,"white",0,0,NA,2022-07-15,0,NA,0,0,TRUE
"CP2",2022,"T9","T9",2022-07-15,"white",0,0,"extra red after adjusting plot boundaries",2022-07-15,0,"extra red after adjusting plot boundaries",0,0,TRUE
