"site","survey_year","transect_plot","quadrat","germ_survey_date","pick_color","number_germ","missing_germs","germ_notes","mort_survey_date","num_dead","mort_notes","days_since_germ","cum_dead","count_check"
"WL1",2022,1,6.5,2022-02-18,"green",16,0,NA,2022-04-01,1,NA,42,1,TRUE
"WL1",2022,1,6.5,2022-02-18,"green",16,0,NA,2022-04-27,0,NA,68,1,TRUE
"WL1",2022,1,6.5,2022-02-18,"green",16,0,NA,2022-05-18,1,"0",89,2,TRUE
"WL1",2022,1,6.5,2022-02-18,"green",16,0,NA,2022-07-01,0,"disturbance to plot",133,2,TRUE
"WL1",2022,1,7,2022-02-18,"green",4,0,"footprint in plote",2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,7,2022-02-18,"green",4,0,"footprint in plote",2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,7,2022-02-18,"green",4,0,"footprint in plote",2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,7,2022-02-18,"green",4,0,"footprint in plote",2022-07-01,0,"disturbance to plot",133,0,TRUE
"WL1",2022,1,7.5,2022-02-18,"green",3,0,"footprint in plot",2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,7.5,2022-02-18,"green",3,0,"footprint in plot",2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,7.5,2022-02-18,"green",3,0,"footprint in plot",2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,7.5,2022-02-18,"green",3,0,"footprint in plot",2022-07-01,1,"disturbance to plot",133,1,TRUE
"WL1",2022,1,8,2022-02-18,"green",24,0,"footprint in plot",2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,8,2022-02-18,"green",24,0,"footprint in plot",2022-04-27,0,"moved extra green",68,0,TRUE
"WL1",2022,1,8,2022-02-18,"green",24,0,"footprint in plot",2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,8,2022-02-18,"green",24,0,"footprint in plot",2022-07-01,6,"disturbance to plot",133,6,TRUE
"WL1",2022,1,8.5,2022-02-18,"green",13,0,NA,2022-04-01,1,NA,42,1,TRUE
"WL1",2022,1,8.5,2022-02-18,"green",13,0,NA,2022-04-27,0,NA,68,1,TRUE
"WL1",2022,1,8.5,2022-02-18,"green",13,0,NA,2022-05-18,0,"0",89,1,TRUE
"WL1",2022,1,8.5,2022-02-18,"green",13,0,NA,2022-07-01,3,"disturbance to plot",133,4,TRUE
"WL1",2022,1,9,2022-02-18,"green",1,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,9,2022-02-18,"green",1,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,9,2022-02-18,"green",1,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,9,2022-02-18,"green",1,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,1,9.5,2022-02-18,"green",1,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,9.5,2022-02-18,"green",1,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,9.5,2022-02-18,"green",1,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,9.5,2022-02-18,"green",1,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,2,0,2022-02-18,"green",4,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,2,0,2022-02-18,"green",4,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,2,0,2022-02-18,"green",4,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,2,0,2022-02-18,"green",4,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,2,0.5,2022-02-18,"green",9,0,"red 207 alive",2022-04-01,0,NA,42,0,TRUE
"WL1",2022,2,0.5,2022-02-18,"green",9,0,"red 207 alive",2022-04-27,0,NA,68,0,TRUE
"WL1",2022,2,0.5,2022-02-18,"green",9,0,"red 207 alive",2022-05-18,1,"disturbance;animal track?",89,1,TRUE
"WL1",2022,2,0.5,2022-02-18,"green",9,0,"red 207 alive",2022-07-01,1,NA,133,2,TRUE
"WL1",2022,2,1,2022-02-18,"green",4,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,2,1,2022-02-18,"green",4,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,2,1,2022-02-18,"green",4,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,2,1,2022-02-18,"green",4,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,2,1.5,2022-02-18,"green",6,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,2,1.5,2022-02-18,"green",6,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,2,1.5,2022-02-18,"green",6,0,NA,2022-05-18,0,"extra green",89,0,TRUE
"WL1",2022,2,1.5,2022-02-18,"green",6,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,2,2,2022-02-18,"green",9,0,"red 351 dead",2022-04-01,0,NA,42,0,TRUE
"WL1",2022,2,2,2022-02-18,"green",9,0,"red 351 dead",2022-04-27,0,NA,68,0,TRUE
"WL1",2022,2,2,2022-02-18,"green",9,0,"red 351 dead",2022-05-18,0,"0",89,0,TRUE
"WL1",2022,2,2,2022-02-18,"green",9,0,"red 351 dead",2022-07-01,0,"extra green",133,0,TRUE
"WL1",2022,2,2.5,2022-02-18,"green",4,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,2,2.5,2022-02-18,"green",4,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,2,2.5,2022-02-18,"green",4,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,2,2.5,2022-02-18,"green",4,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,2,3,2022-02-18,"green",2,0,"purple 22 alive",2022-04-01,0,NA,42,0,TRUE
