"Date_entered","Entered_by","Census_year","Census_date","Collected_by","Site","Transect_plot","Quad","Tag","2018tag","2019tag","Pick_color","Sword_color","Band","Band_color","Band_num","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Canopy_width_cm","Phenology","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Num_total_branches","Longest_leaf_cm","Herbivory","Category_herbivory","Buds","Year_marked","Notes","Stem_diam_mm_UFA","plant_id","original_census_year"
NA,NA,2019,2019-05-31,"Jenny & Elizabeth","TM2","lower","15.0",NA,NA,NA,NA,NA,NA,"red",164,19,14,"1.63",15.7,NA,"P",0,2,2.6,NA,NA,NA,"Y",NA,NA,NA,"leaf & frt damage",1.63,"TM2_lower_15.0_red_164",2019
NA,NA,2019,2019-05-31,"Jenny & Elizabeth","TM2","lower","15.0",NA,NA,NA,"blu","grn",NA,"red",165,9,12,"1.44",27.9,NA,"F",0,0,NA,NA,NA,NA,"Y",NA,NA,NA,"flowers senesced, but not plant leaf",1.44,"TM2_lower_15.0_red_165",2019
NA,NA,2019,2019-05-31,"Jenny, Elizabeth, & Laura","TM2","outcrop",NA,NA,NA,NA,NA,NA,NA,"red",22,NA,NA,"9.86",85.2,NA,"P",0,127,9,NA,NA,NA,"Y",NA,NA,NA,"aphids, many siliques have dehisced, 22(new#127)",9.86,"TM2_outcrop_NA_red_22",2019
NA,NA,2019,2019-05-31,"Jenny, Elizabeth, & Laura","TM2","outcrop",NA,NA,NA,NA,NA,NA,NA,"red",21,NA,NA,"14.51",98,NA,"P",0,290,9.1,NA,NA,NA,"Y",NA,NA,NA,"aphids, 21(new#42)",14.51,"TM2_outcrop_NA_red_21",2019
NA,NA,2019,2019-05-31,"Jenny, Elizabeth, & Laura","TM2","outcrop",NA,NA,NA,NA,NA,NA,NA,"red",25,NA,NA,"13.12",91,NA,"P",0,331,7.7,NA,NA,NA,"Y",NA,NA,NA,"aphids, 25(new#130)",13.12,"TM2_outcrop_NA_red_25",2019
NA,NA,2019,2019-05-31,"Laura & Megan","TM2","seep","14.0R",NA,NA,NA,NA,NA,NA,"metal",6,0,-20,"4.3",37,NA,"P",11,6,24,NA,NA,NA,"Y",NA,NA,NA,"foliar, metal 6 band 9",4.3,"TM2_seep_14.0R_metal_6",2019
NA,NA,2019,2019-05-31,"Laura & Megan","TM2","seep","13.5R",NA,NA,NA,NA,NA,NA,"metal",7,8,-7,"2.54",21.5,NA,"P",5,4,47,NA,NA,NA,"Y",NA,NA,NA,"foliar & apical, metal 7",2.54,"TM2_seep_13.5R_metal_7",2019
NA,NA,2019,2019-05-31,"Laura & Megan","TM2","seep","13.0L",NA,NA,NA,NA,NA,NA,"metal",9,NA,NA,"1.39",17.7,NA,"F",2,NA,NA,NA,NA,NA,"N",NA,NA,NA,"metal tag 9",1.39,"TM2_seep_13.0L_metal_9",2019
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","3.0",NA,NA,NA,NA,NA,NA,"red",107,16,21,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plant",NA,"TM2_lower_3.0_red_107",2019
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","3.0",NA,NA,NA,NA,NA,NA,"red",49,36,16,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plant",NA,"TM2_lower_3.0_red_49",2019
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","3.0",NA,NA,NA,NA,NA,NA,"red",104,36,18,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plant",NA,"TM2_lower_3.0_red_104",2019
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","3.0",NA,NA,NA,NA,NA,NA,"red",109,38,16,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plant",NA,"TM2_lower_3.0_red_109",2019
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","3.0",NA,NA,NA,NA,NA,NA,"red",51,12,8,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plant",NA,"TM2_lower_3.0_red_51",2019
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","3.0",NA,NA,NA,"green",NA,NA,"blue",59,24,16,"1.62",25.2,NA,"P",2,4,72,1,1,NA,"Y",NA,NA,NA,NA,1.62,"TM2_lower_3.0_blue_59",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","3.0",NA,NA,NA,"yellow",NA,NA,"blue",40,16,19,"1.73",7.5,NA,"V",NA,NA,NA,NA,2,23,"Y",NA,NA,NA,NA,1.73,"TM2_lower_3.0_blue_40",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","3.5",NA,NA,NA,"green",NA,NA,"blue",78,24,10,"2.54",38.3,NA,"P",0,10,63,1,2,NA,"Y",NA,NA,NA,NA,2.54,"TM2_lower_3.5_blue_78",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","3.5",NA,NA,NA,"green",NA,NA,"blue",20,21,12,"2.5",31.5,NA,"P",0,7,70,1,1,NA,"Y",NA,NA,NA,NA,2.5,"TM2_lower_3.5_blue_20",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","4.0",NA,NA,NA,"green",NA,NA,"blue",30,40,0,"2.11",23.2,NA,"P",0,8,64,1,1,NA,"Y",NA,NA,NA,NA,2.11,"TM2_lower_4.0_blue_30",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","4.5",NA,NA,NA,"orange",NA,NA,"blue",760,27,23,"1.95",30.5,NA,"P",0,10,61,1,1,NA,"Y",NA,NA,NA,NA,1.95,"TM2_lower_4.5_blue_760",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","5.0",NA,NA,NA,"blue",NA,NA,"blue",35,29,18,"4.02",54.2,NA,"P",0,35,69,1,1,NA,"Y",NA,NA,NA,NA,4.02,"TM2_lower_5.0_blue_35",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","5.0",NA,NA,NA,"green",NA,NA,"blue",55,19,6,"3.22",36.8,NA,"P",0,1,27,1,1,NA,"Y",NA,NA,NA,"one bud, many flowers aborted",3.22,"TM2_lower_5.0_blue_55",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","5.0",NA,NA,NA,"orange",NA,NA,"blue",45,4,16,"2.8",39.5,NA,"P",0,15,77,1,1,NA,"Y",NA,NA,NA,NA,2.8,"TM2_lower_5.0_blue_45",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","5.0",NA,NA,NA,"orange",NA,NA,"blue",6,3,22,"3.36",40.4,NA,"P",0,15,69,1,1,NA,"Y",NA,NA,NA,NA,3.36,"TM2_lower_5.0_blue_6",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","5.5",NA,NA,NA,"orange",NA,NA,"blue",738,26,11,"1.5",27.2,NA,"P",0,1,35,1,1,NA,"Y",NA,NA,NA,NA,1.5,"TM2_lower_5.5_blue_738",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","5.5",NA,NA,NA,"orange",NA,NA,"blue",97,22,16,"4.62",41.2,NA,"P",0,29,75,1,1,NA,"Y",NA,NA,NA,NA,4.62,"TM2_lower_5.5_blue_97",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","6.5",NA,NA,NA,"green",NA,NA,"blue",732,50,18,"2.61",39.5,NA,"P",0,1,24,1,1,NA,"Y",NA,NA,NA,NA,2.61,"TM2_lower_6.5_blue_732",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","7.0",NA,NA,NA,"orange",NA,NA,"blue",10,6,3,"1.01",1.6,NA,"V",NA,NA,NA,0,1,6,"Y",NA,NA,NA,NA,1.01,"TM2_lower_7.0_blue_10",2020
