"Date_entered","Entered_by","Census_year","Census_date","Collected_by","Site","Transect_plot","Quad","Tag","2018tag","2019tag","Pick_color","Sword_color","Band","Band_color","Band_num","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Canopy_width_cm","Phenology","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Num_total_branches","Longest_leaf_cm","Herbivory","Category_herbivory","Leaf_thickness_mm","Buds","Year_marked","Num_leaves","Notes","Stem_diam_mm_UFA"
NA,NA,2016,NA,NA,"TM2","lower","9","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nothing",NA
NA,NA,2016,NA,NA,"TM2","lower","9.5","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nothing",NA
NA,NA,2016,NA,NA,"TM2","lower","10","n",NA,NA,NA,NA,NA,NA,NA,45,13,"0.33","3.0",0.5,"V",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,0.5
NA,NA,2016,NA,NA,"TM2","lower","10.5","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nothing",NA
NA,NA,2016,NA,NA,"TM2","lower","11","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nothing",NA
NA,NA,2016,NA,NA,"TM2","lower","11.5","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nothing",NA
NA,NA,2016,NA,NA,"TM2","lower","12","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nothing",NA
NA,NA,2016,NA,NA,"TM2","lower","12.5","n",NA,NA,NA,NA,NA,NA,NA,9,0,"1.19","9.0",3.5,"P","0.0","0.0",0,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,1.19
NA,NA,2016,NA,NA,"TM2","lower","13","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nothing",NA
NA,NA,2016,NA,NA,"TM2","lower","13.5","n",NA,NA,NA,NA,NA,NA,NA,9,10,"0.9","13.0",2.3,"S","0.0","2.0",1.8,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,0.5
NA,NA,2016,NA,NA,"TM2","lower","13.5","n",NA,NA,NA,NA,NA,NA,NA,43,5,"0.9","2.9",0.9,"V",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,0.5
NA,NA,2016,NA,NA,"TM2","lower","14.5","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"four dead from this year",NA
NA,NA,2016,NA,NA,"TM2","lower","14.5","n",NA,NA,NA,NA,NA,NA,NA,18,6,"1.11","7.0",0.5,"B",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,1.11
