"Census_date","Site","Transect_plot","Quad","Phenology","Xcoord","Ycoord","Band_num","Pick_color","Sword_color","Stem_diam_mm","Height_cm","Num_total_branches","Longest_leaf_cm","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Herbivory","Notes","Collected_by","Census_year","Date_entered","Entered_by","Band_color","Band","Tag","2018tag","2019tag","Year_marked","Category_herbivory","Leaf_thickness_mm","Canopy_width_cm","Buds","Num_leaves","Stem_diam_mm_UFA"
2019-07-29,"YOSE1","ST","1.5","V",NA,NA,NA,NA,NA,"<1","3.1",1,"0.8",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","ST","1.5","V",NA,NA,NA,NA,NA,"<1","4.2",1,"0.5",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","ST","1.5","V",NA,NA,NA,NA,NA,"<1","2.1",1,"0.4",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","ST","1.5","V",NA,NA,NA,NA,NA,"<1","2.1",1,"0.5",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","ST","1.5","V",NA,NA,NA,NA,NA,"<1","3.5",1,"0.7",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","ST","1.5","V",NA,NA,NA,NA,NA,"<1","4.2",1,"0.9",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","ST","1.5","V",NA,NA,NA,NA,NA,"<1","5.1",1,"1.0",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0","P",5,22,46,NA,NA,"1.6","14.0",11,NA,"9.0","2.0",2,11,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6
2019-07-29,"YOSE1","Y1-1","0","F",5,23,87,NA,NA,"1.06","13.4",3,NA,"4.0",NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06
2019-07-29,"YOSE1","Y1-1","0","P",35,15,64,NA,NA,"1.11","13.1",5,NA,"3.0","8.0",6.3,5,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11
